Integrator Name,Logo,Location,Website,Categories,Supported Protocols,Industries Served,Certification Level,AI_Industries_Gen,Category_Audit,Categories + Category_Audit Combined,Slug,AI_Description,Top 100 Integrator
Actemium,,"Paris, France",https://www.actemium.com/,"Cloud / IIoT,MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT","Food & Beverage,Water/Wastewater,Oil & Gas,Manufacturing",Premier Integrator,"Food & Beverage,Water/Wastewater,Oil & Gas,Manufacturing",Systems Integration,"Cloud / IIoT, MES Systems, Systems Integration, Systems Integration",,"Actemium is a Paris, France-based integrator specializing in industrial process and energy sectors. They provide turnkey engineering solutions and maintenance services, with a focus on supporting clients throughout the entire industrial life cycle.",Top 100
Brock Solutions Inc,,"Kitchener, Ontario",http://brocksolutions.com/,"MES Systems,Systems Integration,Migration & Upgrades,PLC Programming,HMI Design,Data Visualization / Dashboards,Cloud / IIoT,SCADA Security","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet,Sparkplug B","Food & Beverage,Transportation,Manufacturing,Automotive",Premier Integrator,"Food & Beverage,Transportation,Manufacturing,Automotive","Systems Integration,MES Systems,Migration & Upgrades,PLC Programming,HMI Design,Data Visualization / Dashboards,Cloud / IIoT,SCADA Security","MES Systems, Systems Integration, Migration & Upgrades, PLC Programming, HMI Design, Data Visualization / Dashboards, Cloud / IIoT, SCADA Security, Systems Integration, MES Systems, Migration & Upgrades, PLC Programming, HMI Design, Data Visualization / Dashboards, Cloud / IIoT, SCADA Security",,"Brock Solutions Inc is a Kitchener, Ontario-based integrator specializing in manufacturing and transportation industries. They provide automation engineering and systems integration services, with a focus on delivering large-scale, mission-critical solutions.",Top 100
E Tech Group,,"West Chester, Ohio",http://www.jsatautomation.com/,"Cloud / IIoT,Enterprise,MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,Data Visualization / Dashboards,SCADA Security","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Water/Wastewater,Manufacturing,General Automation",Premier Integrator,"Food & Beverage,Water/Wastewater,Manufacturing,General Automation","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,MES Systems,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","Cloud / IIoT, Enterprise, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Data Visualization / Dashboards, SCADA Security, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, MES Systems, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT",,"E Tech Group is a West Chester, Ohio-based integrator specializing in life sciences and consumer packaged goods. They provide automation and IT/OT convergence services, with a focus on MES/MOM solutions and lab automation for regulated industries.",Top 100
Catalyx,,"San Diego, California",https://www.catalyx.ai/,"MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT,Sparkplug B","Manufacturing,Life Sciences,Food & Beverage",Premier Integrator,"Manufacturing,Life Sciences,Food & Beverage",Systems Integration,"MES Systems, Systems Integration, Systems Integration",,"Catalyx is a San Diego, California-based integrator specializing in life sciences and consumer packaged goods. They provide machine vision automation and process packaging solutions, with a focus on custom software integration for complex manufacturing and logistics environments.",Top 100
Grantek Systems Integration Ltd.,,"Burlington, Ontario",http://www.grantek.com/,"Cloud / IIoT,Enterprise,MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,SCADA Security,Data Visualization / Dashboards,HMI Design","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,PROFINET,Siemens S7,BACnet,DNP3","Food & Beverage,Life Sciences,Manufacturing",Premier Integrator,"Food & Beverage,Life Sciences,Manufacturing","Systems Integration,PLC Programming,MES Systems,Migration & Upgrades,SCADA Security,Cloud / IIoT,Data Visualization / Dashboards,HMI Design","Cloud / IIoT, Enterprise, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, SCADA Security, Data Visualization / Dashboards, HMI Design, Systems Integration, PLC Programming, MES Systems, Migration & Upgrades, SCADA Security, Cloud / IIoT, Data Visualization / Dashboards, HMI Design",,"Grantek Systems Integration Ltd. is a Burlington, Ontario-based integrator specializing in life sciences and food & beverage industries. They provide manufacturing execution systems (MES) and process automation services, with a focus on digital transformation and data integrity for regulated manufacturing environments.",
Global Process Automation LLC,,"Wilmington, North Carolina",http://www.global-business.net/,"Cloud / IIoT,MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Oil & Gas",Premier Integrator,"Manufacturing,Water/Wastewater,Oil & Gas",Systems Integration,"Cloud / IIoT, MES Systems, Systems Integration, Systems Integration",,"Global Process Automation LLC is a Wilmington, North Carolina-based integrator specializing in manufacturing and industrial process industries. They provide process automation and OT/ICS cybersecurity solutions, with a focus on enabling IT/OT convergence and smart manufacturing transformation.",Top 100
ATS Global,,"Haarlem, Netherlands",http://www.ats-global.com/,"MES Systems,Systems Integration,PLC Programming,Cloud / IIoT,Migration & Upgrades,SCADA Security,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,PROFINET,Siemens S7","Food & Beverage,Automotive,Life Sciences,Manufacturing",Premier Integrator,"Food & Beverage,Automotive,Life Sciences,Manufacturing","Systems Integration,MES Systems,PLC Programming,Cloud / IIoT,Migration & Upgrades,SCADA Security,Data Visualization / Dashboards","MES Systems, Systems Integration, PLC Programming, Cloud / IIoT, Migration & Upgrades, SCADA Security, Data Visualization / Dashboards, Systems Integration, MES Systems, PLC Programming, Cloud / IIoT, Migration & Upgrades, SCADA Security, Data Visualization / Dashboards",,"ATS Global is an Haarlem, Netherlands-based integrator specializing in manufacturing and automotive industries. They provide digital transformation consulting and manufacturing execution system (MES/MOM) solutions, with a focus on IT/OT integration for smart manufacturing initiatives.",
Hoffman Building Technologies,,"Greensboro, North Carolina",https://www.hbtech.com/,"Cloud / IIoT,MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT,BACnet","Energy & Utilities,Data Centers,Manufacturing,General Automation",Premier Integrator,"Energy & Utilities,Data Centers,Manufacturing,General Automation",Systems Integration,"Cloud / IIoT, MES Systems, Systems Integration, Systems Integration",,"Hoffman Building Technologies is a Greensboro, North Carolina-based integrator specializing in healthcare and higher education facilities. They provide building automation systems and systems integration services, with a focus on unifying critical building systems for streamlined facility management.",Top 100
Flexware Innovation,,"Fishers, Indiana",http://www.flexwareinnovation.com/,"Cloud / IIoT,Enterprise,MES Systems,Systems Integration,PLC Programming,Data Visualization / Dashboards,Migration & Upgrades,HMI Design,SCADA Security","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,Sparkplug B","Food & Beverage,Life Sciences,Manufacturing,General Automation",Premier Integrator,"Food & Beverage,Life Sciences,Manufacturing,General Automation","Systems Integration,MES Systems,PLC Programming,Data Visualization / Dashboards,Cloud / IIoT,Migration & Upgrades,HMI Design,SCADA Security","Cloud / IIoT, Enterprise, MES Systems, Systems Integration, PLC Programming, Data Visualization / Dashboards, Migration & Upgrades, HMI Design, SCADA Security, Systems Integration, MES Systems, PLC Programming, Data Visualization / Dashboards, Cloud / IIoT, Migration & Upgrades, HMI Design, SCADA Security",,"Flexware Innovation is a Fishers, Indiana-based integrator specializing in life sciences and food & beverage industries. They provide MES integration and industrial automation services, with a focus on delivering technology-agnostic solutions tailored to complex manufacturing environments.",
Hallam-ICS,,"South Burlington, Vermont",https://www.hallam-ics.com/,"Cloud / IIoT,Enterprise,MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,SCADA Security,Data Visualization / Dashboards,Alarm Management","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Life Sciences,Food & Beverage,Manufacturing,Data Centers",Premier Integrator,"Life Sciences,Food & Beverage,Manufacturing,Data Centers","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,SCADA Security,MES Systems,Data Visualization / Dashboards,Cloud / IIoT,Alarm Management","Cloud / IIoT, Enterprise, MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, SCADA Security, Data Visualization / Dashboards, Alarm Management, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, SCADA Security, MES Systems, Data Visualization / Dashboards, Cloud / IIoT, Alarm Management",,"Hallam-ICS is a South Burlington, Vermont-based integrator specializing in the semiconductor and life sciences industries. They provide engineering design and process control system integration, with a focus on comprehensive safety and regulatory compliance for complex facilities.",Top 100
DSI Innovations LLC,,"Thomasville, North Carolina",https://www.dsiinnovations.com/ignition/,"MES Systems,Systems Integration,HMI Design,Cloud / IIoT,Data Visualization / Dashboards,Migration & Upgrades,PLC Programming","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities",Premier Integrator,"Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities","Systems Integration,HMI Design,Cloud / IIoT,Data Visualization / Dashboards,Migration & Upgrades,PLC Programming","MES Systems, Systems Integration, HMI Design, Cloud / IIoT, Data Visualization / Dashboards, Migration & Upgrades, PLC Programming, Systems Integration, HMI Design, Cloud / IIoT, Data Visualization / Dashboards, Migration & Upgrades, PLC Programming",,"DSI Innovations LLC is a Thomasville, North Carolina-based integrator specializing in manufacturing and facility automation. They provide SCADA system modernization and MES solutions, with a focus on custom Ignition integration across over forty industries.",
RoviSys,,"Cleveland, Ohio",http://www.rovisys.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,Data Visualization / Dashboards,HMI Design,SCADA Security,Alarm Management","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7,DNP3,BACnet,Sparkplug B","Food & Beverage,Water/Wastewater,Oil & Gas,Life Sciences,Data Centers",Premier Integrator,"Food & Beverage,Water/Wastewater,Oil & Gas,Life Sciences,Data Centers","Systems Integration,PLC Programming,MES Systems,Migration & Upgrades,Cloud / IIoT,Data Visualization / Dashboards,HMI Design,SCADA Security,Alarm Management","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, Data Visualization / Dashboards, HMI Design, SCADA Security, Alarm Management, Systems Integration, PLC Programming, MES Systems, Migration & Upgrades, Cloud / IIoT, Data Visualization / Dashboards, HMI Design, SCADA Security, Alarm Management",,"RoviSys is a Cleveland, Ohio-based integrator specializing in life sciences and data centers. They provide process automation and digital transformation services, with a focus on vendor-independent solutions for complex industrial and commercial environments.",
ASE GLOBAL,,"Medina, NY, United States",http://www.asecuador.com/,"MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Energy & Utilities",Premier Integrator,"Manufacturing,General Automation,Energy & Utilities",Systems Integration,"MES Systems, Systems Integration, Systems Integration",,"ASE GLOBAL is a Quito, Ecuador-based integrator specializing in industrial automation and oil & gas sectors. They provide SCADA system integration and HMI migration services, with a focus on delivering tailored technological solutions that integrate seamlessly with client operations.",Top 100
"Polaris Automation, Inc.",,"Columbus, OH, United States",http://www.polarisautomation.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Manufacturing,General Automation,Automotive",Premier Integrator,"Food & Beverage,Manufacturing,General Automation,Automotive","Systems Integration,PLC Programming,Migration & Upgrades,MES Systems,HMI Design,Data Visualization / Dashboards,Cloud / IIoT","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Data Visualization / Dashboards, Systems Integration, PLC Programming, Migration & Upgrades, MES Systems, HMI Design, Data Visualization / Dashboards, Cloud / IIoT",,"Polaris Automation, Inc. is a Westerville, Ohio-based integrator specializing in manufacturing and process industries. They provide digital factory solutions and automation and controls, with a focus on smart manufacturing and batch process optimization.",Top 100
"SkyIO, Inc.",,"Greenville, South Carolina",http://www.aeengr.com/,"MES Systems,Systems Integration,Cloud / IIoT,Data Visualization / Dashboards,Migration & Upgrades,PLC Programming,SCADA Security","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities",Premier Integrator,"Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities","Cloud / IIoT,Data Visualization / Dashboards,MES Systems,Migration & Upgrades,PLC Programming,SCADA Security,Systems Integration","MES Systems, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards, Migration & Upgrades, PLC Programming, SCADA Security, Cloud / IIoT, Data Visualization / Dashboards, MES Systems, Migration & Upgrades, PLC Programming, SCADA Security, Systems Integration",,"SkyIO, Inc. is a Greenville, South Carolina-based integrator specializing in manufacturing and process industries. They provide factory automation and MES deployment services, with a focus on seamless IT/OT integration for enhanced operational efficiency and data-driven performance.",Top 100
Ulteig Engineers Inc,,"Fargo, North Dakota",https://www.affinityenergy.com/,"MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT,BACnet,DNP3","Data Centers,Water/Wastewater,Manufacturing",Premier Integrator,"Data Centers,Water/Wastewater,Manufacturing",Systems Integration,"MES Systems, Systems Integration, Systems Integration",,"Ulteig Engineers Inc is a Fargo, North Dakota-based integrator specializing in power and renewables infrastructure. They provide engineering consulting and technical services, with a focus on multi-disciplinary project delivery across North America.",
"Martin Control Systems, Inc",,"Plain City, OH, United States",http://martincsi.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Water/Wastewater,Automotive,Manufacturing",Premier Integrator,"Food & Beverage,Water/Wastewater,Automotive,Manufacturing","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Cloud / IIoT",,"Martin Control Systems, Inc. is a Dublin, Ohio-based integrator specializing in automotive and food & beverage industries. They provide automation controls and smart manufacturing/IIoT solutions, with a focus on delivering customized systems integration tailored to each client's unique requirements.",Top 100
Gray AES,,"Lexington, Kentucky",https://www.grayaes.com/,"MES Systems,Systems Integration,SCADA Security,Data Visualization / Dashboards,Migration & Upgrades,PLC Programming","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet,Sparkplug B","Food & Beverage,Manufacturing,Life Sciences,Automotive",Premier Integrator,"Food & Beverage,Manufacturing,Life Sciences,Automotive","Systems Integration,MES Systems,SCADA Security,Data Visualization / Dashboards,Migration & Upgrades,PLC Programming","MES Systems, Systems Integration, SCADA Security, Data Visualization / Dashboards, Migration & Upgrades, PLC Programming, Systems Integration, MES Systems, SCADA Security, Data Visualization / Dashboards, Migration & Upgrades, PLC Programming",,"Gray AES is a Lexington, Kentucky-based integrator specializing in industrial and food & beverage sectors. They provide facility design and automation solutions, with a focus on delivering fully integrated architecture, engineering, and robotics services.",Top 100
"Citi, Inc.",,"Charlotte, NC, United States",http://www.citi-inc.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","OPC UA,Modbus TCP,MQTT","Manufacturing,Food & Beverage,Water/Wastewater",Premier Integrator,"Manufacturing,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT",,"CITI, Inc. is a Charlotte, North Carolina-based integrator specializing in water/wastewater and utilities industries. They provide control system integration and networking solutions, with a focus on custom control design and in-house UL certified panel fabrication.",Top 100
Automation Excellence - Base Automation,,"Fort Mill, SC, United States",http://www.baseautomation.co.in/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,Data Visualization / Dashboards,HMI Design","OPC UA,Modbus TCP,MQTT,Siemens S7,PROFINET,Ethernet/IP","Manufacturing,Water/Wastewater,Energy & Utilities,Oil & Gas",Premier Integrator,"Manufacturing,Water/Wastewater,Energy & Utilities,Oil & Gas","Systems Integration,PLC Programming,Migration & Upgrades,MES Systems,Cloud / IIoT,Data Visualization / Dashboards,HMI Design","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, Data Visualization / Dashboards, HMI Design, Systems Integration, PLC Programming, Migration & Upgrades, MES Systems, Cloud / IIoT, Data Visualization / Dashboards, HMI Design",,"Base Automation Technologies is a Chennai, Tamil Nadu-based integrator specializing in manufacturing and process industries. They provide industrial automation and software integration services, with a focus on delivering customized Industry 4.0 solutions for diverse manufacturing sectors.",Top 100
"NeoMatrix, Inc.",,"Portsmouth, New Hampshire",http://www.neomatrixinc.com/,"Enterprise,MES Systems,Systems Integration,PLC Programming,Data Visualization / Dashboards,Cloud / IIoT,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Life Sciences,Manufacturing,General Automation",Premier Integrator,"Food & Beverage,Life Sciences,Manufacturing,General Automation","Systems Integration,MES Systems,PLC Programming,Data Visualization / Dashboards,Cloud / IIoT,Migration & Upgrades","Enterprise, MES Systems, Systems Integration, PLC Programming, Data Visualization / Dashboards, Cloud / IIoT, Migration & Upgrades, Systems Integration, MES Systems, PLC Programming, Data Visualization / Dashboards, Cloud / IIoT, Migration & Upgrades",,"NeoMatrix, Inc. is a Portsmouth, New Hampshire-based integrator specializing in manufacturing and pharmaceutical industries. They provide industrial automation and MES solutions, with a focus on unified namespace architecture for digital transformation in manufacturing.",Top 100
Automation Solutions of America (ASA),,"Freeport, Illinois",https://www.themorsegroup.com/,"MES Systems,Systems Integration,PLC Programming,Data Visualization / Dashboards,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Data Centers,Manufacturing,General Automation",Premier Integrator,"Data Centers,Manufacturing,General Automation","Systems Integration,PLC Programming,Data Visualization / Dashboards,Migration & Upgrades","MES Systems, Systems Integration, PLC Programming, Data Visualization / Dashboards, Migration & Upgrades, Systems Integration, PLC Programming, Data Visualization / Dashboards, Migration & Upgrades",,"Automation Solutions of America (ASA) is a Freeport, Illinois-based integrator specializing in industrial and commercial automation. They provide system design and integration services, with a focus on managing projects from concept through installation and validation.",Top 100
EOSYS Group,,"Nashville, Tennessee",http://www.eosysgroup.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,SCADA Security,Alarm Management","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Water/Wastewater,Oil & Gas,Manufacturing",Premier Integrator,"Food & Beverage,Water/Wastewater,Oil & Gas,Manufacturing","Systems Integration,PLC Programming,HMI Design,MES Systems,Migration & Upgrades,Data Visualization / Dashboards,Cloud / IIoT,SCADA Security,Alarm Management","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, SCADA Security, Alarm Management, Systems Integration, PLC Programming, HMI Design, MES Systems, Migration & Upgrades, Data Visualization / Dashboards, Cloud / IIoT, SCADA Security, Alarm Management",,"EOSYS Group is a Nashville, Tennessee-based integrator specializing in food & beverage and chemical industries. They provide industrial automation and digital transformation solutions, with a focus on delivering integrated systems that bridge shop floor operations to enterprise-level insights.",Top 100
